aX,aY,aZ,gX,gY,gZ
0.096,-0.005,0.225,14.099,-164.612,32.837
-0.019,0.126,0.824,5.127,-188.354,33.936
-0.050,0.439,2.770,5.798,-213.196,33.386
-0.014,0.795,0.846,270.874,-225.342,38.330
-0.397,-0.246,0.013,112.488,68.604,-18.311
-0.161,-0.847,1.544,-73.181,-80.139,-30.457
0.119,0.168,0.937,-31.006,-70.007,3.052
-0.005,-0.172,-0.009,6.958,43.945,-5.005
-0.068,0.062,0.882,21.423,-10.254,1.404
-0.121,-0.103,1.129,31.799,3.540,1.709
-0.103,-0.264,1.173,2.869,-10.925,3.723
-0.061,-0.102,1.567,-27.100,15.076,8.789
0.025,0.155,1.314,-47.485,62.073,3.967
-0.050,-0.015,1.234,-60.669,80.994,3.235
0.096,0.056,0.467,-38.452,88.379,2.014
0.110,0.005,0.385,-13.794,62.012,-0.244
0.070,0.015,0.316,12.146,3.845,2.747
0.032,0.003,0.474,18.311,-24.048,2.686
0.021,-0.025,0.506,9.583,-31.067,2.136
0.012,0.019,0.954,9.338,-42.725,2.686
-0.035,-0.017,1.325,27.161,-55.908,3.296
-0.073,0.000,1.633,41.138,-47.668,2.563
-0.074,-0.080,1.342,23.804,-22.156,2.319
-0.066,-0.026,1.452,-7.935,2.380,3.357
-0.061,0.003,1.426,-13.123,21.667,4.028
-0.073,-0.031,1.658,-12.939,43.640,5.188
-0.025,0.012,1.665,-19.775,66.772,5.432
-0.037,0.066,1.469,-23.193,87.402,3.113
0.020,-0.003,0.791,-3.845,95.642,-0.488
0.044,-0.020,0.442,16.174,84.778,-2.075
0.097,0.009,0.095,20.264,71.716,-1.404
0.103,-0.016,-0.082,8.911,52.429,-0.427
0.103,-0.031,-0.146,-3.967,22.888,0.183
0.104,-0.008,-0.109,-10.071,-5.859,1.160
0.073,-0.014,0.039,-8.179,-38.574,2.808
0.034,-0.014,0.318,-6.226,-69.519,4.700
0.010,0.015,0.579,-13.306,-92.041,5.249
0.041,0.086,1.268,-13.489,-109.741,4.089
-0.219,0.664,3.896,91.736,-191.589,14.587
-0.295,-0.237,0.583,115.906,-26.062,-13.306
-0.242,-0.821,0.900,-2.258,14.832,-35.156
0.064,0.322,1.611,-26.733,-85.632,35.217
-0.014,-0.019,0.607,-14.282,9.460,12.512
-0.059,-0.122,0.627,7.141,21.423,-4.150
-0.067,-0.008,1.381,8.789,-10.498,5.798
-0.077,-0.079,1.240,-2.747,21.118,0.854
-0.024,0.025,1.163,-25.330,38.635,2.686
-0.015,-0.003,1.251,-35.645,52.063,3.235
-0.197,0.012,1.025,208.740,-147.339,12.939
-0.247,-0.303,0.557,30.212,39.124,-26.917
-0.137,-0.347,1.522,-35.095,-63.293,-4.578
0.054,0.076,0.990,-17.944,-23.499,14.282
-0.041,-0.112,0.352,-4.272,35.889,-5.981
-0.046,0.079,1.133,14.282,-4.333,1.038
-0.083,-0.063,1.282,14.404,-14.526,8.850
-0.056,-0.002,1.353,-17.578,36.865,-0.244
-0.064,-0.037,1.286,-37.231,50.049,3.296
0.031,0.056,0.927,-35.034,55.847,3.418
0.034,-0.027,0.555,-17.334,47.607,0.916
0.025,-0.003,0.525,8.362,-1.709,2.686
0.019,-0.007,0.554,9.277,-10.742,1.892
0.000,0.029,0.983,9.766,-26.062,2.563
-0.026,-0.012,1.047,18.494,-29.175,1.587
-0.051,-0.008,1.395,22.583,-25.635,1.465
-0.051,-0.034,1.259,16.174,-13.794,2.014
-0.034,-0.021,1.147,0.610,-0.732,2.930
-0.030,-0.021,1.049,-4.395,8.789,2.991
-0.049,-0.001,1.256,-6.653,16.174,3.418
-0.059,-0.034,1.301,-7.385,30.273,3.906
-0.030,-0.000,1.589,-16.663,46.204,5.371
-0.012,0.054,1.738,-12.573,56.030,5.432
-0.023,0.009,1.280,3.296,72.998,1.587
0.018,0.018,0.798,5.920,84.717,-1.648
0.044,-0.018,0.361,16.296,75.378,-1.465
0.102,-0.032,-0.044,16.907,71.533,-2.319
0.100,-0.016,-0.224,5.249,52.124,-0.244
0.092,0.006,-0.017,-3.235,-1.770,2.808
0.087,-0.039,0.166,-7.324,-34.668,2.441
0.032,-0.014,0.297,-7.446,-50.232,2.625
0.031,-0.010,0.508,-9.155,-74.219,4.822
0.005,0.041,0.620,-13.611,-90.149,4.395
-0.125,-0.042,2.544,16.418,-129.822,6.348
-0.143,0.215,2.326,126.282,-160.278,11.902
-0.186,-0.307,0.659,48.218,25.085,-29.846
-0.077,-0.017,1.190,-23.010,-28.442,1.221
0.031,0.058,1.016,-11.108,-22.827,20.081
-0.045,-0.109,0.429,-2.930,27.954,-3.601
-0.046,0.038,1.184,8.728,-5.615,4.211
-0.074,-0.063,1.199,3.296,-2.197,7.263
-0.016,0.054,1.212,-20.569,37.292,0.122
-0.051,-0.048,1.260,-33.203,47.302,3.296
0.043,0.014,0.818,-24.719,48.523,3.723
0.033,0.009,0.733,-11.292,29.541,3.479
0.033,0.012,0.581,-0.854,7.019,3.296
0.026,-0.004,0.597,7.935,-4.700,2.380
0.010,-0.009,0.699,10.620,-14.954,2.014
-0.008,0.010,0.992,12.451,-23.193,1.770
-0.036,-0.031,1.184,16.541,-22.583,0.977
-0.054,-0.029,1.280,18.433,-18.738,1.709
-0.045,-0.025,1.237,8.484,-6.409,1.831
-0.035,-0.025,1.084,-1.465,2.869,2.991
-0.040,-0.002,1.189,-5.127,10.742,3.296
-0.050,-0.018,1.248,-5.554,20.874,3.723
-0.042,-0.024,1.323,-10.864,36.377,4.211
-0.016,0.030,1.583,-17.700,47.668,4.761
-0.016,0.007,1.380,-5.371,58.594,3.296
0.012,0.033,1.079,7.141,67.017,1.648
0.031,-0.011,0.589,14.526,65.918,-0.183
0.061,-0.007,0.308,17.883,54.871,-0.122
0.093,-0.023,0.035,12.878,49.377,-0.488
0.080,0.002,-0.039,2.136,30.762,1.404
0.079,0.006,0.123,-7.263,-10.742,1.770
0.065,-0.028,0.283,-9.521,-37.537,0.732
0.045,0.001,0.475,-9.521,-57.739,5.188
0.015,0.019,0.550,-12.207,-73.608,4.150
-0.038,-0.064,1.490,-3.845,-94.543,3.357
-0.043,0.367,3.600,81.421,-158.386,12.390
-0.204,-0.201,1.269,86.731,-48.096,-5.432
-0.106,-0.131,1.081,-7.446,6.775,-8.789
