aX,aY,aZ,gX,gY,gZ
0.254,-0.252,-0.140,-122.131,64.636,-6.348
0.131,-0.176,-0.198,-80.750,-5.310,11.536
-0.043,-0.126,0.046,36.011,-135.010,31.494
0.439,0.101,3.682,195.435,-330.566,44.434
-0.306,0.320,3.196,72.693,-247.192,62.439
-0.224,-0.055,0.958,37.598,116.943,13.672
0.065,-0.004,0.590,-129.395,268.860,-32.715
0.220,-0.206,-0.068,-111.572,110.779,-23.926
0.319,-0.206,0.116,-0.854,-7.690,-7.935
0.342,-0.046,0.664,29.724,-45.410,3.906
0.140,0.102,1.163,93.262,-104.492,19.470
0.061,-0.031,1.924,100.586,-94.788,15.137
-0.069,0.100,1.685,31.616,-45.837,8.240
0.020,-0.073,1.122,2.869,81.787,-5.920
0.220,-0.186,0.750,-47.974,88.928,-21.545
0.113,-0.080,0.587,-16.418,41.626,-2.808
0.124,-0.006,0.852,93.628,-61.279,15.015
0.182,-0.120,1.079,108.398,-47.302,6.409
0.083,-0.181,0.629,-16.418,41.260,-3.479
0.048,-0.096,0.109,-164.856,116.516,-7.874
-0.005,-0.129,-0.060,-176.208,108.765,-11.841
0.454,0.022,0.867,-43.152,-38.391,1.343
0.333,-0.117,2.235,196.594,-257.263,18.494
-0.205,0.194,2.490,59.204,-205.688,52.307
-0.278,0.114,1.644,13.855,77.209,16.235
-0.064,-0.033,0.629,-36.316,179.810,-8.606
0.174,-0.101,0.222,-115.784,105.408,-14.221
0.372,-0.130,0.379,-14.771,29.297,-11.047
0.353,0.018,0.913,47.363,-53.528,3.601
0.112,0.015,1.028,79.712,-67.200,14.771
-0.013,-0.074,1.085,58.533,-39.185,7.507
0.073,-0.133,1.259,15.869,-8.789,-1.709
0.151,0.077,1.547,4.883,-17.090,6.409
0.052,0.050,1.238,13.916,26.123,1.648
0.060,-0.142,0.819,0.000,43.396,-9.338
0.103,-0.097,0.704,-21.179,34.241,-4.089
0.161,-0.025,0.811,44.556,-9.888,5.493
0.147,-0.136,0.901,92.224,-40.894,8.484
0.149,-0.174,0.684,-4.150,28.198,-2.136
0.186,-0.173,0.133,-120.300,84.351,-8.789
0.117,-0.167,0.018,-175.598,103.088,-15.991
0.359,-0.003,0.835,-55.908,-1.587,-3.357
0.397,-0.137,2.384,192.993,-255.859,17.273
-0.141,0.136,2.087,51.147,-175.354,48.218
-0.221,0.107,1.587,0.732,86.853,13.733
-0.180,0.299,3.349,68.176,-255.066,63.538
-0.358,0.135,1.570,32.349,48.096,31.189
-0.083,-0.062,0.543,-20.386,206.787,-3.601
0.179,-0.110,0.192,-129.578,113.403,-17.151
0.394,-0.143,0.378,-18.005,33.997,-13.123
0.362,-0.060,0.800,61.707,-62.378,4.150
0.126,-0.012,0.898,96.191,-79.590,18.982
0.107,0.142,1.765,55.115,-72.021,20.081
-0.090,0.010,0.989,79.956,-43.701,14.343
0.084,-0.112,0.759,-62.622,94.604,-13.062
0.114,-0.128,0.872,-60.486,76.965,-24.963
0.104,-0.018,1.572,38.696,-84.045,28.564
-0.163,0.060,1.789,61.584,-83.069,40.466
-0.161,-0.048,0.683,81.238,115.662,15.259
0.078,-0.036,0.298,-59.998,131.470,-11.719
0.215,-0.238,-0.048,-126.831,136.658,-32.532
0.321,-0.243,-0.103,-139.099,110.474,-17.822
0.460,-0.265,0.086,-88.257,28.992,-13.000
0.220,-0.276,0.065,62.622,-132.080,16.052
0.387,-0.175,2.250,158.813,-258.911,42.786
-0.026,0.235,3.262,50.415,-222.290,53.650
-0.250,0.063,1.366,41.016,64.636,27.405
-0.151,0.060,0.434,-34.851,203.247,8.423
0.116,-0.081,0.213,-128.174,100.830,-15.808
0.157,-0.027,0.416,20.630,7.568,-8.850
0.298,-0.135,0.762,106.201,-104.675,3.235
0.427,-0.208,1.635,78.308,-84.717,0.671
0.148,0.124,1.808,-4.211,-41.138,12.695
0.028,-0.161,0.547,75.806,44.067,10.681
